userId,movieId,rating,timestamp
6,14,4.0,1616177388
4,86,4.0,1633367192
6,25,4.0,1633016375
9,59,2.0,1627157918
10,15,4.0,1629204347
3,18,5.0,1618757649
8,23,5.0,1621822323
2,44,5.0,1612807351
13,86,2.0,1623446517
5,72,2.0,1622711485
8,40,4.0,1638574655
17,88,4.0,1629108338
17,26,3.0,1630991425
6,44,4.0,1630059363
15,75,4.0,1623379756
3,83,4.0,1619565997
8,80,3.0,1630689649
8,41,5.0,1618939767
10,94,1.0,1635269113
2,75,5.0,1634862224
9,50,5.0,1635316306
5,74,5.0,1627421311
6,78,4.0,1612289085
20,90,4.0,1633954767
11,40,4.0,1622733719
20,16,5.0,1615974367
20,96,3.0,1612653301
12,14,4.0,1614755501
2,43,3.0,1632822331
4,37,3.0,1623149499
11,33,3.0,1612022530
1,8,3.0,1618622100
16,10,1.0,1632388027
4,29,3.0,1624622715
9,97,4.0,1632233411
14,41,5.0,1634277060
14,39,5.0,1640732321
5,30,5.0,1613949262
17,34,5.0,1609807747
13,59,2.0,1620714492
19,15,3.0,1628223344
1,13,5.0,1638980220
20,32,3.0,1627811422
7,27,4.0,1628497847
6,30,3.0,1614167039
14,84,5.0,1637731799
10,80,3.0,1638611027
16,91,2.0,1618018110
20,87,3.0,1640674734
17,52,5.0,1634191394
20,64,5.0,1628962817
4,18,5.0,1614246972
20,65,4.0,1634189662
14,50,4.0,1631414412
20,43,4.0,1627725776
20,1,2.0,1625114969
15,16,5.0,1635325266
3,10,4.0,1614272577
15,62,4.0,1618244603
17,68,4.0,1619660493
4,26,3.0,1638038041
4,77,5.0,1611280813
12,51,1.0,1636102883
12,81,4.0,1630986700
15,58,5.0,1632754241
9,13,4.0,1618766999
18,78,4.0,1624601045
14,58,2.0,1613582139
1,97,3.0,1623218504
5,60,5.0,1631222369
8,88,1.0,1637113949
18,13,5.0,1610217315
19,82,3.0,1627619664
15,26,4.0,1619802636
11,63,2.0,1618146523
14,44,3.0,1620757281
9,83,4.0,1624292210
18,47,5.0,1625976250
5,15,4.0,1624837822
8,20,3.0,1629442785
18,43,3.0,1614124749
13,4,5.0,1623809645
14,53,5.0,1633308562
18,30,4.0,1613420773
5,62,5.0,1640055613
16,43,4.0,1613783238
14,75,5.0,1616090782
20,5,4.0,1621217040
9,4,3.0,1620213061
8,60,4.0,1610815391
13,21,4.0,1622152844
16,60,3.0,1633778902
13,42,1.0,1626831195
17,24,4.0,1636313038
12,52,3.0,1633813805
20,62,3.0,1636057068
19,79,2.0,1616240403
20,21,5.0,1619454268
7,100,4.0,1628742657
18,5,4.0,1627092257
3,29,3.0,1635079522
3,19,3.0,1620058981
17,98,3.0,1611434205
14,60,3.0,1639071398
3,72,4.0,1612221124
8,43,3.0,1622143266
3,35,3.0,1616898924
18,91,3.0,1620838445
10,39,2.0,1635129970
5,80,4.0,1625466376
19,64,4.0,1634331420
13,55,5.0,1626982285
5,96,4.0,1610027063
11,5,4.0,1619196454
18,95,2.0,1623926619
3,71,4.0,1640245300
3,100,4.0,1614494324
3,68,3.0,1623962358
14,87,5.0,1625419363
1,63,5.0,1634097917
15,72,3.0,1622354175
14,85,3.0,1637205567
15,67,5.0,1624586504
18,7,4.0,1634422367
9,62,2.0,1626285211
15,99,4.0,1611356018
8,54,5.0,1634948070
10,46,2.0,1623722454
3,69,4.0,1620336354
4,15,5.0,1611705094
16,22,5.0,1623273388
9,56,5.0,1614109037
1,67,3.0,1624984205
3,90,5.0,1628692770
9,17,4.0,1636664486
5,24,4.0,1631931547
17,20,4.0,1624140699
18,56,3.0,1630720282
12,66,3.0,1634662380
6,64,4.0,1640073625
5,76,4.0,1633448465
4,99,3.0,1610227294
3,25,3.0,1610165638
14,98,2.0,1622977354
11,86,4.0,1615127973
18,59,2.0,1628394452
9,31,3.0,1620625986
4,81,5.0,1617712901
5,94,4.0,1629623815
20,14,3.0,1630562384
14,77,4.0,1626103760
13,34,5.0,1611392944
8,64,5.0,1627860138
7,88,1.0,1640051772
9,45,3.0,1631507787
2,96,1.0,1616071094
15,18,5.0,1632364452
5,98,4.0,1618508910
15,64,3.0,1631706585
17,36,5.0,1631215746
5,20,4.0,1627986350
13,11,4.0,1614435155
8,57,5.0,1622299515
16,3,2.0,1612207542
9,100,1.0,1621532287
13,43,2.0,1638326125
15,82,3.0,1637934664
19,28,4.0,1637552656
5,84,4.0,1630191578
18,3,5.0,1618880868
20,70,5.0,1633232430
18,64,2.0,1613069096
16,13,4.0,1635059727
17,85,3.0,1611303175
15,88,3.0,1639313027
11,82,3.0,1626018827
18,10,4.0,1626256383
16,7,3.0,1633364624
5,53,4.0,1628484070
16,51,5.0,1612252617
16,2,4.0,1626789697
14,82,5.0,1620050597
4,42,2.0,1635225405
10,32,5.0,1620841375
10,92,4.0,1633178082
16,61,4.0,1614949865
18,26,5.0,1627220607
1,74,4.0,1630067386
19,43,3.0,1632984679
5,48,4.0,1627493058
16,84,3.0,1625360275
2,79,5.0,1611732312
7,41,3.0,1634312420
7,81,5.0,1622345521
3,77,2.0,1632094331
15,9,1.0,1609579316
5,39,3.0,1625649926
11,56,4.0,1622139578
13,29,5.0,1610154991
8,86,4.0,1618523846
15,87,3.0,1616578970
15,94,4.0,1635860408
3,5,4.0,1614832603
4,100,3.0,1625825173
17,13,5.0,1639915242
11,100,3.0,1611664045
6,62,3.0,1613064991
17,29,4.0,1620962108
11,21,2.0,1609582339
10,70,3.0,1621983811
5,91,4.0,1610462983
7,86,2.0,1618436290
9,52,1.0,1626296781
12,83,3.0,1612551302
9,37,2.0,1636762888
13,23,4.0,1623170046
6,71,5.0,1636783976
18,25,2.0,1620204294
15,37,1.0,1609471966
20,86,4.0,1616315013
12,78,3.0,1633185585
7,78,5.0,1635637222
20,19,4.0,1630475572
10,25,2.0,1630210696
1,77,5.0,1626418635
19,76,5.0,1630591348
6,10,4.0,1624665677
14,69,4.0,1631415765
17,92,2.0,1638777371
14,72,5.0,1625366491
20,88,3.0,1623976109
19,11,5.0,1619211846
11,20,5.0,1640537402
9,15,5.0,1628166405
3,93,3.0,1638780700
2,31,4.0,1629120974
12,16,4.0,1619743046
8,73,4.0,1628679480
2,71,4.0,1625371948
20,23,4.0,1612403092
12,44,5.0,1630705862
12,4,5.0,1637869841
13,15,5.0,1620760915
4,16,3.0,1615956630
20,54,4.0,1615254462
7,59,5.0,1631435450
17,60,3.0,1623801646
19,54,4.0,1620942986
15,38,4.0,1621754443
17,61,3.0,1626457812
14,93,5.0,1626949499
8,30,4.0,1631438886
20,58,3.0,1636007268
15,65,4.0,1617093601
1,96,5.0,1623660914
11,67,3.0,1629130047
20,52,4.0,1618314149
5,63,3.0,1620932096
4,10,5.0,1628276427
9,87,4.0,1637753787
10,89,3.0,1614389219
17,83,5.0,1624296291
17,22,5.0,1634562964
14,81,3.0,1640453918
12,29,5.0,1630244572
12,31,5.0,1615211936
10,28,4.0,1624042988
9,80,5.0,1618914755
18,22,4.0,1611850340
16,87,4.0,1630169643
14,30,3.0,1634430802
17,50,3.0,1635960283
10,16,5.0,1621525913
7,2,4.0,1635313603
9,86,5.0,1616714033
12,38,4.0,1638211754
6,91,4.0,1619826817
7,46,2.0,1636556730
8,10,4.0,1611357842
12,50,3.0,1635351679
19,40,4.0,1639911346
8,3,4.0,1626144355
5,36,4.0,1629598945
6,27,3.0,1638084909
18,97,5.0,1636888427
4,82,4.0,1634961694
12,55,4.0,1615896822
14,4,4.0,1610868785
6,23,3.0,1617635504
8,42,4.0,1614807886
8,78,5.0,1616630648
13,41,3.0,1618240701
18,1,3.0,1640687577
7,77,3.0,1623651101
1,44,4.0,1621052099
2,93,4.0,1610620216
18,27,2.0,1620736697
5,26,3.0,1610570433
8,19,5.0,1640647525
15,22,4.0,1619086028
12,70,4.0,1627487862
10,73,4.0,1619966630
16,16,5.0,1616779256
11,6,4.0,1622276199
18,11,4.0,1636116906
19,33,4.0,1634827731
15,14,4.0,1616412057
2,68,3.0,1635075305
20,97,5.0,1622857125
13,87,4.0,1610243581
5,23,5.0,1609493991
12,63,5.0,1611349896
4,21,3.0,1623919158
7,20,5.0,1622259552
12,93,4.0,1616235214
6,88,3.0,1614046853
18,58,5.0,1625192476
6,21,3.0,1632095238
13,1,2.0,1640904777
5,52,1.0,1630372620
17,25,2.0,1640245808
12,90,4.0,1626810534
6,67,3.0,1638292335
17,66,5.0,1628574111
19,89,4.0,1621492779
12,41,4.0,1635703387
12,67,4.0,1635629709
3,76,5.0,1619971896
19,73,5.0,1615674532
11,7,5.0,1621342582
2,25,3.0,1623357382
13,90,4.0,1633692585
20,78,4.0,1616731235
8,32,4.0,1628320292
19,72,3.0,1618517491
2,13,4.0,1618047539
9,90,5.0,1630413356
12,92,4.0,1621043749
5,32,3.0,1613973184
1,38,3.0,1613898735
6,11,2.0,1630024271
6,41,5.0,1610690428
9,40,3.0,1616506722
10,5,4.0,1623233938
12,40,4.0,1620195463
3,4,3.0,1625720919
9,23,4.0,1634196764
9,24,5.0,1631833360
5,12,5.0,1627113666
